sex,los_c2,los_m,n,sex_f,prcnt
2,"[1771,1778)",1777,107,Female,0.003623433796139519
2,"[1806,1813)",1808,153,Female,0.005181171689806976
2,"[1834,1841)",1839,86,Female,0.0029122925838130716
2,1869,1869,89,Female,0.0030138841855739925
2,"[1897,1904)",1900,101,Female,0.003420250592617677
2,"[1925,1932)",1930,61,Female,0.002065695902472062
2,"[1960,1967)",1961,79,Female,0.0026752455130375887
2,"[1988,1995)",1992,92,Female,0.0031154757873349138
2,"[2016,2023)",2022,119,Female,0.004029800203183204
2,"[2051,2058)",2053,98,Female,0.003318658990856756
2,"[2079,2086)",2083,76,Female,0.002573653911276668
2,2114,2114,98,Female,0.003318658990856756
2,2142,2142,100,Female,0.0033863867253640365
2,"[2170,2177)",2173,70,Female,0.0023704707077548256
2,"[2198,2205)",2204,58,Female,0.0019641043007111413
2,"[2233,2240)",2234,67,Female,0.0022688791059939043
2,"[2261,2268)",2265,86,Female,0.0029122925838130716
2,"[2289,2296)",2295,53,Female,0.0017947849644429394
2,"[2324,2331)",2326,47,Female,0.0015916017609210972
2,"[2352,2359)",2357,114,Female,0.0038604808669150015
2,2387,2387,62,Female,0.002099559769725703
2,"[2415,2422)",2418,45,Female,0.0015238740264138164
2,"[2443,2450)",2448,62,Female,0.002099559769725703
2,"[2478,2485)",2479,70,Female,0.0023704707077548256
2,"[2506,2513)",2507,120,Female,0.004063664070436844
2,"[2534,2541)",2538,9,Female,3.047748052827633e-4
2,2569,2569,42,Female,0.0014222824246528953
2,"[2597,2604)",2599,38,Female,0.001286826955638334
2,"[2625,2632)",2630,49,Female,0.001659329495428378
2,2660,2660,39,Female,0.0013206908228919742
2,"[2688,2695)",2691,40,Female,0.0013545546901456147
2,"[2716,2723)",2722,70,Female,0.0023704707077548256
2,"[2751,2758)",2752,32,Female,0.0010836437521164917
2,"[2779,2786)",2783,41,Female,0.001388418557399255
2,"[2807,2814)",2813,51,Female,0.0017270572299356586
2,"[2842,2849)",2844,93,Female,0.003149339654588554
2,"[2870,2877)",2872,4,Female,1.3545546901456146e-4
2,"[2898,2905)",2903,27,Female,9.143244158482898e-4
2,"[2933,2940)",2934,52,Female,0.001760921097189299
2,"[2961,2968)",2964,77,Female,0.002607517778530308
2,"[3024,3031)",3025,35,Female,0.0011852353538774128
2,"[3052,3059)",3056,29,Female,9.820521503555706e-4
2,3087,3087,56,Female,0.0018963765662038605
2,"[3115,3122)",3117,48,Female,0.0016254656281747375
2,"[3143,3150)",3148,90,Female,0.0030477480528276328
2,3178,3178,20,Female,6.772773450728074e-4
2,"[3234,3241)",3238,21,Female,7.111412123264476e-4
2,3269,3269,45,Female,0.0015238740264138164
2,"[3297,3304)",3300,28,Female,9.481882831019302e-4
2,"[3325,3332)",3330,17,Female,5.756857433118863e-4
2,"[3360,3367)",3361,36,Female,0.001219099221131053
2,"[3388,3395)",3391,16,Female,5.418218760582459e-4
2,"[3416,3423)",3422,18,Female,6.095496105655266e-4
2,"[3451,3458)",3453,46,Female,0.0015577378936674569
2,"[3479,3486)",3483,31,Female,0.0010497798848628514
2,"[3507,3514]",3514,1044,Female,0.03535387741280054
