cal_yr,age_yr,sex,N,x,h,pt,age_m,age_s,rate
2016,ge100,1,76,47,3,41.634496919917865,101.65789473684211,3.8766054964928527,112.88715723022293
2016,ge100,2,433,203,15,287.7180013689254,101.39722863741339,1.5483538707860036,70.55519607190097
2017,70,1,246,39,11,180.3668720054757,70,0,21.622595971402117
2017,70,2,206,27,8,162.21492128678986,70,0,16.64458471872943
2017,71,1,283,65,23,208.79945242984257,71,0,31.130349837406904
2017,71,2,299,49,12,223.27994524298427,71,0,21.94554461515824
2017,72,1,222,42,14,162.46680355920603,72,0,25.85143492694764
2017,72,2,265,45,14,197.27310061601642,72,0,22.811016737446916
2017,73,1,268,46,11,196.43258042436688,73,0,23.417703876120257
2017,73,2,352,46,14,266.5106091718001,73,0,17.260100880392017
2017,74,1,321,66,20,225.21286789869953,74,0,29.30560789700823
2017,74,2,401,74,20,291.2443531827515,74,0,25.408217941848335
2017,75,1,345,85,35,247.27446954140999,75,0,34.37475779753535
2017,75,2,445,83,21,313.6016427104723,75,0,26.46669809591158
2017,76,1,375,91,33,262.2149212867899,76,0,34.704356088291185
2017,76,2,509,94,25,371.0855578370979,76,0,25.33108551782144
2017,77,1,354,83,20,250.36550308008214,77,0,33.151532051702645
2017,77,2,589,116,30,429.4264202600958,77,0,27.012776701009894
2017,78,1,449,115,34,313.20465434633815,78,0,36.71720659452088
2017,78,2,652,144,38,454.2340862422998,78,0,31.701716000940277
2017,79,1,515,141,42,340.90896646132785,79,0,41.360015098339986
2017,79,2,733,148,35,539.4004106776181,79,0,27.43787306614691
2017,80,1,502,157,50,335.8302532511978,80,0,46.749808416624546
2017,80,2,889,192,45,647.7700205338809,80,0,29.640149113686505
2017,81,1,529,149,41,347.0527036276523,81,0,42.93296045313622
2017,81,2,1004,213,35,690.0780287474332,81,0,30.866074722972733
2017,82,1,568,169,42,374.62559890485966,82,0,45.11170632600562
2017,82,2,1067,241,50,753.5715263518139,82,0,31.981038504298034
2017,83,1,597,193,52,385.90554414784395,83,0,50.01223820875192
2017,83,2,1114,227,37,800.7638603696098,83,0,28.34793267208928
2017,84,1,594,200,48,371.8740588637919,84,0,53.78164871490941
2017,84,2,1306,284,62,937.8781656399726,84,0,30.28111863615133
2017,85,1,613,211,47,397.9082819986311,85,0,53.02729537072714
2017,85,2,1383,347,62,980.0520191649555,85,0,35.40628387212122
2017,86,1,639,208,40,406.91033538672144,86,0,51.11691247712348
2017,86,2,1516,396,74,1072.501026694045,86,0,36.92304157700055
2017,87,1,602,183,38,380.87337440109513,87,0,48.04746466926406
2017,87,2,1546,420,64,1085.4373716632444,87,0,38.69407954476663
2017,88,1,569,193,46,358.29979466119096,88,0,53.86550672810215
2017,88,2,1636,461,77,1147.7125256673512,88,0,40.166852734481225
2017,89,1,583,224,48,353.119780971937,89,0,63.43456585282647
2017,89,2,1581,461,84,1103.9863107460644,89,0,41.75776415999761
2017,90,1,446,166,36,280.3668720054757,90,0,59.20813640092183
2017,90,2,1436,430,74,977.5414099931554,90,0,43.98790635406543
2017,91,1,446,178,38,263.88501026694047,91,0,67.45362300796812
2017,91,2,1446,474,73,992.7446954141,91,0,47.746414782129065
2017,92,1,379,162,25,228.12594113620807,92,0,71.01340566230213
2017,92,2,1317,433,62,913.056810403833,92,0,47.423117057578246
