hb,location,month_label,deaths,pats,crd_rate,sex
Scotland,Scot,2012M06,1335,265620,5.0259769595662975,1
Scotland,Scot,2012M06,1758,374376,4.695813834220143,2
Scotland,Scot,2012M07,1377,265620,5.184097583013327,1
Scotland,Scot,2012M07,1786,374376,4.770604953308973,2
Scotland,Scot,2012M08,1310,265620,4.931857540847828,1
Scotland,Scot,2012M08,1775,374376,4.741222727952647,2
Scotland,Scot,2012M09,1416,265620,5.330923876214141,1
Scotland,Scot,2012M09,1772,374376,4.733209393764557,2
Scotland,Scot,2012M10,1470,265620,5.534221820646035,1
Scotland,Scot,2012M10,1993,374376,5.323525012287112,2
Scotland,Scot,2012M11,1422,265620,5.353512536706574,1
Scotland,Scot,2012M11,1877,374376,5.013676090347672,2
Scotland,Scot,2012M12,1605,265620,6.042466681725774,1
Scotland,Scot,2012M12,2278,374376,6.084791760155565,2
Scotland,Scot,2013M01,1833,271667,6.747230984992656,1
Scotland,Scot,2013M01,2374,377849,6.282933129371786,2
Scotland,Scot,2013M02,1478,271667,5.440484122105372,1
Scotland,Scot,2013M02,1928,377849,5.102567427729066,2
Scotland,Scot,2013M03,1598,271667,5.88220137153206,1
Scotland,Scot,2013M03,2101,377849,5.560422285092723,2
Scotland,Scot,2013M04,1581,271667,5.819624761196612,1
Scotland,Scot,2013M04,2032,377849,5.377809654121091,2
Scotland,Scot,2013M05,1368,271667,5.035576643464241,1
Scotland,Scot,2013M05,1806,377849,4.779687123692269,2
Scotland,Scot,2013M06,1300,271667,4.785270202122451,1
Scotland,Scot,2013M06,1733,377849,4.5864882532440205,2
Scotland,Scot,2013M07,1257,271667,4.626988187744555,1
Scotland,Scot,2013M07,1607,377849,4.253021709730607,2
Scotland,Scot,2013M08,1304,271667,4.799994110436675,1
Scotland,Scot,2013M08,1621,377849,4.290073547898764,2
Scotland,Scot,2013M09,1365,271667,5.024533712228574,1
Scotland,Scot,2013M09,1658,377849,4.387996263057465,2
Scotland,Scot,2013M10,1427,271667,5.25275429109903,1
Scotland,Scot,2013M10,1763,377849,4.665885049318643,2
Scotland,Scot,2013M11,1476,271667,5.43312216794826,1
Scotland,Scot,2013M11,1865,377849,4.935834155972359,2
Scotland,Scot,2013M12,1564,271667,5.757048150861165,1
Scotland,Scot,2013M12,1942,377849,5.139619265897223,2
Scotland,Scot,2014M01,1610,279337,5.763647493887311,1
Scotland,Scot,2014M01,2070,383536,5.397146552083768,2
Scotland,Scot,2014M02,1403,279337,5.022607101816086,1
Scotland,Scot,2014M02,1773,383536,4.622773351132619,2
Scotland,Scot,2014M03,1515,279337,5.423556492695203,1
Scotland,Scot,2014M03,1900,383536,4.95390263234742,2
Scotland,Scot,2014M04,1409,279337,5.044086533470324,1
Scotland,Scot,2014M04,1763,383536,4.596700179383422,2
Scotland,Scot,2014M05,1491,279337,5.33763876607825,1
Scotland,Scot,2014M05,1741,383536,4.5393392015351886,2
Scotland,Scot,2014M06,1304,279337,4.668196479521153,1
Scotland,Scot,2014M06,1638,383536,4.27078553251846,2
Scotland,Scot,2014M07,1405,279337,5.029766912367499,1
Scotland,Scot,2014M07,1739,383536,4.534124567185349,2
Scotland,Scot,2014M08,1450,279337,5.190862649774287,1
Scotland,Scot,2014M08,1743,383536,4.5445538358850275,2
Scotland,Scot,2014M09,1350,279337,4.832872122203646,1
Scotland,Scot,2014M09,1723,383536,4.492407492386634,2
Scotland,Scot,2014M10,1498,279337,5.362698103008195,1
Scotland,Scot,2014M10,1879,383536,4.899148971674107,2
Scotland,Scot,2014M11,1538,279337,5.505894314036451,1
Scotland,Scot,2014M11,1871,383536,4.878290434274748,2
